ParticipantId,chatbot_conversation_history_personalization,search_history_personalization,email_personalization,device_personalization,chatbot_conversation_history_valuation,search_history_valuation,email_valuation,device_valuation,search_engine_history,popularity_history,content_mod_history,product_recs_history,concerned_pc,trust_pc,privacy_important_pc,concerns_gpt_pc,private_gpt_pc,inaccurate_info_concern,not_understanding_what_AI_can_do_concern,misused_concern,Usage,year_start_using,account_type,role,location,purpose,content,consent,anonymity,privacy,appropriate_score,concern_score
750,50,0,50,0,50,0,70,4,0,50,50,0,85,75,78,79,30,85,50,85,Weekly,2023 or earlier,ChatGPT Free Subscription,a big tech company,the European Union,creating a public dataset for AI research,Your conversations with ChatGPT about social life and personal relationships,asked for consent in advance of the data being collected,anonymized,not removed,0,100
751,50,0,0,0,50,0,0,0,50,0,0,0,100,10,90,90,0,90,71,90,Less than Monthly,2024,ChatGPT Free Subscription,a university computer science researcher,the US,fighting terrorism,Your conversations with ChatGPT where you sought legal or ethical guidance,not informed that your data was collected,not anonymized,automatically removed,0,100
752,35,33,62,37,26,9,14,14,34,33,30,35,70,29,94,50,26,60,65,63,Monthly,2025,No Account,a government agency,the European Union,training future AI models,Your conversations with ChatGPT about your personal health and wellness,not informed that your data was collected,not anonymized,not removed,7,96
753,55,5,0,0,65,5,0,0,5,0,0,5,95,30,90,85,40,80,80,90,Monthly,2024,ChatGPT Free Subscription,a hospital,the European Union,studying AI risks to society,Your conversations with ChatGPT where you used the model to help with your job,not informed that your data was collected,anonymized,not removed,0,60
754,100,100,11,75,100,100,8,81,95,12,25,71,90,70,100,87,80,62,19,83,Monthly,2025,No Account,a hospital,the European Union,training future AI models,Your conversations with ChatGPT about social life and personal relationships,asked for consent in advance of the data being collected,not anonymized,automatically removed,9,100
755,82,77,34,21,93,90,50,35,85,34,32,88,74,68,100,65,69,64,73,73,Weekly,2023 or earlier,ChatGPT Free Subscription,a university social science researcher,the US,assessing mental health,Your conversations with ChatGPT about social life and personal relationships,informed that your data was collected,anonymized,not removed,100,0
756,76,6,59,3,2,3,0,5,27,10,65,33,74,80,100,42,19,60,65,86,Weekly,2024,ChatGPT Free Subscription,a government agency,the US,personalizing advertising,Your conversations with ChatGPT about your personal health and wellness,not informed that your data was collected,anonymized,automatically removed,64,26
757,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,0,100,100,100,Less than Monthly,2024,No Account,a charitable foundation,the US,creating a public dataset for AI research,Your conversations with ChatGPT where you used the model to help with your job,informed that your data was collected,anonymized,automatically removed,0,100
758,39,24,0,0,22,26,0,0,0,20,20,0,91,68,100,63,0,62,85,73,Weekly,2024,No Account,a government agency,the European Union,improving user experience with AI,Your conversations with ChatGPT where you sought legal or ethical guidance,not informed that your data was collected,not anonymized,not removed,55,79
759,100,100,0,50,100,100,0,75,100,100,75,100,100,50,100,0,50,50,80,75,Daily,2024,ChatGPT Free Subscription,a hospital,the US,personalizing advertising,Your conversations with ChatGPT where you used the model to help with your job,asked for consent in advance of the data being collected,not anonymized,not removed,100,0
760,70,25,26,26,68,30,33,32,79,81,80,81,90,71,92,77,28,77,84,81,Daily,2024,ChatGPT Free Subscription,a university computer science researcher,the European Union,improving user experience with AI,Your conversations with ChatGPT about your personal health and wellness,asked for consent in advance of the data being collected,not anonymized,automatically removed,74,33
761,67,17,0,24,0,0,0,0,13,0,11,30,70,40,80,85,15,60,69,86,Daily,2024,ChatGPT Free Subscription,a hospital,the US,studying AI risks to society,Your conversations with ChatGPT about your personal health and wellness,asked for consent in advance of the data being collected,anonymized,not removed,50,50
762,50,7,2,1,50,50,98,39,0,0,0,0,77,18,86,65,55,83,59,95,Less than Monthly,2024,ChatGPT Free Subscription,a big tech company,the European Union,training future AI models,Your conversations with ChatGPT about social life and personal relationships,informed that your data was collected,anonymized,not removed,1,73
763,45,60,30,32,51,51,30,20,45,50,45,20,65,40,80,55,40,70,70,80,Daily,2023 or earlier,ChatGPT Free Subscription,a government agency,the US,predicting human behavior,All of your conversations with ChatGPT,informed that your data was collected,anonymized,automatically removed,39,45
764,20,10,0,50,40,35,5,20,45,0,10,30,100,20,80,100,20,80,90,100,Weekly,2023 or earlier,ChatGPT Free Subscription,a government agency,the European Union,predicting human behavior,Your conversations with ChatGPT where you sought legal or ethical guidance,not informed that your data was collected,anonymized,automatically removed,50,60
765,39,0,0,50,71,15,0,12,0,0,0,0,40,88,100,27,94,39,38,10,Daily,2024,ChatGPT Free Subscription,a university social science researcher,the US,assessing mental health,Your conversations with ChatGPT where you sought legal or ethical guidance,informed that your data was collected,not anonymized,automatically removed,100,0
766,100,4,0,0,100,10,0,0,58,52,71,53,79,58,92,48,63,85,24,57,Weekly,2024,ChatGPT Free Subscription,a big tech company,China,studying AI risks to society,Your conversations with ChatGPT about social life and personal relationships,asked for consent in advance of the data being collected,not anonymized,not removed,44,37
767,11,7,4,16,59,60,86,60,36,17,32,38,87,15,94,84,40,91,81,91,Monthly,2023 or earlier,ChatGPT Free Subscription,an insurance company,the European Union,fighting terrorism,Your conversations with ChatGPT about your personal health and wellness,asked for consent in advance of the data being collected,not anonymized,automatically removed,11,92
768,42,4,0,13,13,0,0,9,57,50,83,57,77,34,100,67,28,90,96,100,Weekly,2024,ChatGPT Free Subscription,a university computer science researcher,the European Union,studying AI risks to society,Your conversations with ChatGPT where you used the model to help with your job,not informed that your data was collected,not anonymized,automatically removed,0,100
769,35,71,70,4,28,75,14,55,61,78,23,30,89,21,27,79,32,84,78,92,Weekly,2024,No Account,a government agency,the US,fighting terrorism,All of your conversations with ChatGPT,asked for consent in advance of the data being collected,anonymized,automatically removed,9,91
770,45,18,9,14,25,5,5,16,25,67,67,66,65,31,76,88,30,75,90,80,Daily,2023 or earlier,ChatGPT Free Subscription,a hospital,the US,fighting terrorism,Your conversations with ChatGPT where you sought legal or ethical guidance,informed that your data was collected,not anonymized,automatically removed,8,100
771,76,72,50,49,94,83,49,47,59,72,79,34,86,69,82,50,73,87,88,65,Weekly,2024,ChatGPT Plus,a big tech company,China,improving user experience with AI,Your conversations with ChatGPT about your personal health and wellness,not informed that your data was collected,not anonymized,not removed,64,39
772,75,71,54,53,84,86,73,83,31,22,71,0,100,37,82,83,27,93,45,70,Weekly,2024,ChatGPT Free Subscription,a university social science researcher,the US,fighting terrorism,Your conversations with ChatGPT about your personal health and wellness,informed that your data was collected,not anonymized,not removed,23,60
773,72,50,50,50,80,50,49,50,71,50,61,50,50,50,50,50,50,60,50,78,Daily,2024,ChatGPT Plus,a hospital,the US,improving user experience with AI,Your conversations with ChatGPT where you sought legal or ethical guidance,not informed that your data was collected,anonymized,not removed,50,76
774,50,0,0,0,19,0,0,0,0,0,0,0,100,0,100,50,50,50,50,50,Weekly,2025,ChatGPT Free Subscription,an insurance company,the US,studying AI risks to society,Your conversations with ChatGPT where you used the model to help with your job,asked for consent in advance of the data being collected,anonymized,automatically removed,26,72
775,72,39,3,8,63,40,10,9,76,4,5,40,68,52,91,71,35,84,91,72,Weekly,2024,ChatGPT Free Subscription,a university social science researcher,the US,assessing mental health,Your conversations with ChatGPT about social life and personal relationships,asked for consent in advance of the data being collected,not anonymized,not removed,8,91
776,79,75,88,81,87,82,83,85,80,76,84,81,90,71,97,71,60,91,50,91,Weekly,2024,ChatGPT Free Subscription,a university computer science researcher,the European Union,predicting human behavior,All of your conversations with ChatGPT,informed that your data was collected,not anonymized,automatically removed,65,67
777,55,55,31,29,50,50,25,3,50,0,0,45,93,50,87,75,19,54,67,88,Daily,2023 or earlier,ChatGPT Free Subscription,a university social science researcher,the European Union,predicting human behavior,Your conversations with ChatGPT about social life and personal relationships,not informed that your data was collected,not anonymized,not removed,50,60
778,79,4,72,0,90,6,90,0,22,0,0,33,73,54,98,32,65,37,51,69,Monthly,2024,No Account,an insurance company,the US,creating a public dataset for AI research,Your conversations with ChatGPT where you sought legal or ethical guidance,not informed that your data was collected,anonymized,automatically removed,71,62
779,76,47,36,50,53,48,12,34,48,9,26,58,70,51,92,57,35,77,35,51,Less than Monthly,2024,No Account,a charitable foundation,the European Union,assessing mental health,Your conversations with ChatGPT about social life and personal relationships,informed that your data was collected,not anonymized,not removed,62,38
780,86,35,59,72,68,27,44,73,23,59,29,75,72,15,55,81,24,62,56,24,Weekly,2023 or earlier,ChatGPT Free Subscription,a big tech company,China,improving user experience with AI,Your conversations with ChatGPT where you used the model to help with your job,asked for consent in advance of the data being collected,anonymized,automatically removed,67,31
781,90,90,90,90,0,0,0,0,100,50,50,100,35,40,25,10,50,75,50,50,Daily,2024,ChatGPT Free Subscription,a charitable foundation,China,training future AI models,Your conversations with ChatGPT about social life and personal relationships,asked for consent in advance of the data being collected,not anonymized,automatically removed,50,20
782,34,32,18,14,56,22,21,33,26,7,16,19,88,27,92,79,70,77,80,75,Weekly,2024,ChatGPT Free Subscription,a charitable foundation,the US,fighting terrorism,Your conversations with ChatGPT where you used the model to help with your job,informed that your data was collected,anonymized,not removed,29,75
783,84,50,90,91,50,50,100,100,50,85,78,72,73,50,100,63,50,86,59,58,Weekly,2024,ChatGPT Free Subscription,an insurance company,the US,training future AI models,Your conversations with ChatGPT about your personal health and wellness,not informed that your data was collected,not anonymized,not removed,0,100
784,100,100,100,25,100,100,100,75,100,0,50,100,20,70,100,0,100,10,30,0,Weekly,2024,ChatGPT Free Subscription,an insurance company,China,personalizing advertising,Your conversations with ChatGPT where you sought legal or ethical guidance,asked for consent in advance of the data being collected,anonymized,not removed,20,95
785,88,89,98,95,99,98,97,98,97,91,93,94,79,35,62,17,64,22,29,13,Daily,2024,ChatGPT Free Subscription,an insurance company,the US,predicting human behavior,Your conversations with ChatGPT where you used the model to help with your job,informed that your data was collected,anonymized,automatically removed,87,24
786,40,50,17,26,50,40,20,36,19,17,17,26,62,50,82,62,50,67,76,56,Daily,2023 or earlier,ChatGPT Free Subscription,a university social science researcher,the US,fighting terrorism,All of your conversations with ChatGPT,not informed that your data was collected,anonymized,automatically removed,23,84
787,9,17,0,0,80,80,77,5,8,10,10,9,92,8,79,91,10,72,50,94,Less than Monthly,2024,No Account,a university computer science researcher,China,creating a public dataset for AI research,Your conversations with ChatGPT about social life and personal relationships,informed that your data was collected,not anonymized,not removed,8,91
788,44,38,11,3,68,37,18,5,33,0,18,26,90,55,100,57,39,84,99,77,Weekly,2024,ChatGPT Free Subscription,a university social science researcher,the European Union,improving user experience with AI,Your conversations with ChatGPT where you sought legal or ethical guidance,asked for consent in advance of the data being collected,anonymized,not removed,63,18
789,80,15,0,0,80,10,0,0,90,10,40,80,80,40,100,45,55,75,80,55,Less than Monthly,2024,ChatGPT Free Subscription,a university computer science researcher,the US,personalizing advertising,Your conversations with ChatGPT about social life and personal relationships,not informed that your data was collected,anonymized,not removed,70,20
790,96,0,0,65,80,0,0,64,100,0,0,68,17,81,19,0,89,60,6,4,Weekly,2024,ChatGPT Free Subscription,a big tech company,China,assessing mental health,All of your conversations with ChatGPT,informed that your data was collected,not anonymized,automatically removed,85,8
791,65,35,0,0,100,64,0,0,13,64,73,64,85,44,100,100,9,100,71,81,Daily,2024,ChatGPT Free Subscription,a hospital,the US,predicting human behavior,Your conversations with ChatGPT about social life and personal relationships,informed that your data was collected,not anonymized,not removed,0,100
792,70,30,0,0,100,100,100,100,0,0,0,0,80,40,100,70,55,100,30,60,Daily,2024,ChatGPT Plus,a university computer science researcher,the European Union,creating a public dataset for AI research,Your conversations with ChatGPT about social life and personal relationships,asked for consent in advance of the data being collected,anonymized,not removed,20,80
793,79,0,0,0,91,0,0,0,34,0,0,73,81,56,97,75,0,92,74,82,Daily,2023 or earlier,ChatGPT Free Subscription,a hospital,the European Union,assessing mental health,All of your conversations with ChatGPT,not informed that your data was collected,anonymized,automatically removed,0,100
794,34,17,8,13,23,16,9,5,15,12,18,14,88,39,80,62,63,90,79,76,Weekly,2024,ChatGPT Free Subscription,a big tech company,the European Union,studying AI risks to society,Your conversations with ChatGPT where you sought legal or ethical guidance,informed that your data was collected,not anonymized,automatically removed,24,69
795,81,0,0,0,80,39,59,55,55,60,0,0,100,14,100,80,28,68,73,62,Weekly,2023 or earlier,ChatGPT Plus,an insurance company,the US,fighting terrorism,Your conversations with ChatGPT where you sought legal or ethical guidance,informed that your data was collected,not anonymized,automatically removed,45,57
796,50,50,0,50,0,0,0,0,50,0,0,50,100,0,100,100,0,100,75,100,Less than Monthly,2023 or earlier,ChatGPT Free Subscription,an insurance company,China,training future AI models,All of your conversations with ChatGPT,informed that your data was collected,not anonymized,automatically removed,0,100
797,98,8,0,0,100,0,0,0,6,0,6,95,94,9,99,92,50,67,50,61,Weekly,2024,ChatGPT Free Subscription,a university computer science researcher,China,predicting human behavior,Your conversations with ChatGPT about your personal health and wellness,not informed that your data was collected,not anonymized,automatically removed,73,22
798,0,0,0,0,0,0,0,0,0,0,0,0,62,72,73,93,22,100,100,100,Less than Monthly,2024,ChatGPT Free Subscription,a university social science researcher,the US,assessing mental health,Your conversations with ChatGPT where you used the model to help with your job,asked for consent in advance of the data being collected,anonymized,automatically removed,33,71
799,57,33,0,0,62,0,0,0,70,64,89,70,22,85,100,60,63,43,39,59,Monthly,2024,ChatGPT Free Subscription,a hospital,China,fighting terrorism,Your conversations with ChatGPT where you used the model to help with your job,informed that your data was collected,anonymized,automatically removed,65,84
800,63,0,46,6,38,40,68,59,27,18,54,83,61,75,82,34,60,32,73,60,Daily,2023 or earlier,ChatGPT Free Subscription,an insurance company,the European Union,improving user experience with AI,All of your conversations with ChatGPT,informed that your data was collected,anonymized,automatically removed,61,59
801,84,61,30,39,74,26,6,38,45,53,72,63,72,58,86,19,76,62,71,59,Weekly,2024,ChatGPT Free Subscription,a government agency,the US,improving user experience with AI,All of your conversations with ChatGPT,informed that your data was collected,anonymized,not removed,67,37
802,71,22,22,34,92,24,23,92,50,50,28,34,81,66,92,76,66,40,67,67,Weekly,2024,ChatGPT Free Subscription,a university computer science researcher,China,fighting terrorism,All of your conversations with ChatGPT,not informed that your data was collected,not anonymized,automatically removed,9,0
803,98,0,0,0,100,10,0,0,17,0,0,6,64,42,76,61,57,84,87,59,Monthly,2024,ChatGPT Free Subscription,an insurance company,the European Union,fighting terrorism,Your conversations with ChatGPT about social life and personal relationships,not informed that your data was collected,anonymized,automatically removed,0,100
804,100,0,0,0,100,0,0,0,100,100,0,100,100,8,100,100,8,95,100,100,Daily,2024,ChatGPT Plus,a big tech company,China,creating a public dataset for AI research,Your conversations with ChatGPT where you sought legal or ethical guidance,not informed that your data was collected,not anonymized,not removed,0,0
805,70,20,10,10,80,60,30,20,65,30,35,75,85,75,100,70,55,80,55,90,Weekly,2023 or earlier,ChatGPT Free Subscription,a university computer science researcher,the US,personalizing advertising,Your conversations with ChatGPT about social life and personal relationships,informed that your data was collected,not anonymized,automatically removed,70,20
806,60,0,0,0,80,40,0,0,15,32,17,30,60,55,100,45,60,55,40,50,Daily,2023 or earlier,ChatGPT Free Subscription,a government agency,China,fighting terrorism,Your conversations with ChatGPT where you sought legal or ethical guidance,informed that your data was collected,not anonymized,not removed,20,82
807,90,82,68,70,93,93,92,93,99,100,99,99,70,29,42,0,50,16,5,13,Daily,2024,ChatGPT Free Subscription,a charitable foundation,the European Union,improving user experience with AI,Your conversations with ChatGPT where you used the model to help with your job,informed that your data was collected,anonymized,not removed,100,0
808,0,0,0,0,0,0,0,0,0,0,0,0,100,5,100,100,0,100,100,100,Weekly,2024,ChatGPT Free Subscription,a university social science researcher,the US,assessing mental health,Your conversations with ChatGPT where you used the model to help with your job,asked for consent in advance of the data being collected,not anonymized,not removed,64,20
809,,0,0,0,,0,0,0,100,20,37,100,92,50,100,100,0,100,100,100,Less than Monthly,2023 or earlier,No Account,an insurance company,the US,studying AI risks to society,Your conversations with ChatGPT about your personal health and wellness,asked for consent in advance of the data being collected,not anonymized,automatically removed,80,10
810,49,0,0,0,100,0,0,0,100,100,100,100,80,50,100,70,50,70,100,100,Weekly,2024,ChatGPT Free Subscription,a university social science researcher,the US,studying AI risks to society,All of your conversations with ChatGPT,asked for consent in advance of the data being collected,not anonymized,automatically removed,30,70
811,60,72,34,32,75,83,50,45,71,51,56,87,65,71,97,72,62,69,79,68,Less than Monthly,2025,No Account,a charitable foundation,the US,creating a public dataset for AI research,Your conversations with ChatGPT about social life and personal relationships,asked for consent in advance of the data being collected,anonymized,automatically removed,51,64
812,20,1,50,0,50,50,80,50,49,0,15,49,100,0,100,100,50,100,100,100,Weekly,2024,ChatGPT Free Subscription,a hospital,China,fighting terrorism,Your conversations with ChatGPT about your personal health and wellness,not informed that your data was collected,not anonymized,not removed,49,100
813,71,3,0,39,75,0,0,49,0,0,0,0,65,16,81,10,50,36,69,12,Weekly,2023 or earlier,ChatGPT Free Subscription,a hospital,China,assessing mental health,All of your conversations with ChatGPT,not informed that your data was collected,not anonymized,not removed,0,85
814,60,21,3,3,60,13,3,2,31,30,36,20,86,56,94,95,35,93,86,83,Weekly,2023 or earlier,ChatGPT Free Subscription,a hospital,China,assessing mental health,Your conversations with ChatGPT about your personal health and wellness,informed that your data was collected,not anonymized,automatically removed,31,86
815,84,65,2,4,25,14,2,3,4,6,3,6,80,62,100,70,19,92,92,100,Monthly,2024,ChatGPT Free Subscription,an insurance company,the US,creating a public dataset for AI research,All of your conversations with ChatGPT,asked for consent in advance of the data being collected,anonymized,not removed,3,99
816,75,40,85,45,80,40,80,40,70,85,85,85,95,75,100,95,80,90,75,95,Weekly,2023 or earlier,ChatGPT Pro,a university social science researcher,the US,predicting human behavior,Your conversations with ChatGPT where you sought legal or ethical guidance,informed that your data was collected,anonymized,not removed,30,95
817,50,0,0,0,50,0,0,0,50,0,50,0,70,90,100,90,50,55,10,55,Less than Monthly,2025,No Account,a charitable foundation,the European Union,improving user experience with AI,Your conversations with ChatGPT where you sought legal or ethical guidance,not informed that your data was collected,not anonymized,not removed,0,100
818,20,8,18,4,5,7,5,11,8,10,12,14,95,68,97,100,51,100,86,100,Weekly,2024,ChatGPT Free Subscription,a government agency,the US,assessing mental health,Your conversations with ChatGPT about your personal health and wellness,not informed that your data was collected,anonymized,automatically removed,97,16
819,62,40,60,65,74,75,62,81,88,75,83,89,60,70,100,48,56,62,70,35,Monthly,2024,ChatGPT Free Subscription,a university social science researcher,the US,personalizing advertising,Your conversations with ChatGPT where you used the model to help with your job,not informed that your data was collected,not anonymized,not removed,31,50
820,21,9,2,0,0,0,0,0,0,0,0,0,61,62,50,57,31,58,84,57,Daily,2024,ChatGPT Free Subscription,a university social science researcher,the US,studying AI risks to society,Your conversations with ChatGPT where you used the model to help with your job,asked for consent in advance of the data being collected,not anonymized,automatically removed,0,100
821,80,40,21,10,87,43,23,14,76,35,33,62,76,28,84,60,53,91,68,80,Weekly,2023 or earlier,ChatGPT Free Subscription,a university computer science researcher,China,creating a public dataset for AI research,Your conversations with ChatGPT about your personal health and wellness,not informed that your data was collected,not anonymized,automatically removed,30,70
822,70,20,0,0,30,15,0,0,40,0,0,40,90,30,100,90,0,75,,75,Less than Monthly,2023 or earlier,ChatGPT Free Subscription,a hospital,the European Union,predicting human behavior,Your conversations with ChatGPT where you sought legal or ethical guidance,informed that your data was collected,anonymized,automatically removed,0,0
823,50,8,0,0,60,0,0,0,50,50,63,74,75,70,90,90,8,98,80,90,Less than Monthly,2023 or earlier,No Account,a charitable foundation,China,predicting human behavior,Your conversations with ChatGPT where you sought legal or ethical guidance,not informed that your data was collected,anonymized,not removed,90,19
824,70,30,0,0,80,40,0,0,70,0,50,0,100,29,100,90,30,65,60,75,Weekly,2024,No Account,an insurance company,the European Union,improving user experience with AI,Your conversations with ChatGPT where you sought legal or ethical guidance,not informed that your data was collected,not anonymized,automatically removed,70,60
825,60,50,50,61,60,60,61,61,60,50,65,57,70,26,80,60,65,65,75,75,Weekly,2023 or earlier,ChatGPT Free Subscription,a big tech company,China,assessing mental health,Your conversations with ChatGPT where you sought legal or ethical guidance,asked for consent in advance of the data being collected,not anonymized,automatically removed,24,81
826,40,0,0,0,90,0,0,0,64,32,52,72,80,45,100,61,56,72,40,88,Weekly,2023 or earlier,ChatGPT Free Subscription,a charitable foundation,China,personalizing advertising,Your conversations with ChatGPT about your personal health and wellness,not informed that your data was collected,anonymized,automatically removed,66,48
827,50,0,50,50,50,50,100,50,100,0,0,0,100,50,100,100,0,100,100,100,Less than Monthly,2023 or earlier,ChatGPT Free Subscription,a big tech company,the European Union,creating a public dataset for AI research,All of your conversations with ChatGPT,informed that your data was collected,anonymized,automatically removed,0,100
828,100,100,50,75,100,100,50,75,100,50,50,60,10,75,65,15,80,40,75,25,Weekly,2024,No Account,an insurance company,the US,predicting human behavior,All of your conversations with ChatGPT,not informed that your data was collected,anonymized,not removed,65,45
829,80,68,82,65,84,68,85,70,50,50,18,50,72,71,92,50,50,62,50,67,Monthly,2024,ChatGPT Free Subscription,a university social science researcher,China,predicting human behavior,Your conversations with ChatGPT where you sought legal or ethical guidance,not informed that your data was collected,not anonymized,automatically removed,75,56
830,30,30,15,15,30,30,15,15,33,5,10,5,75,30,75,85,20,50,70,85,Monthly,2024,No Account,a university computer science researcher,China,assessing mental health,Your conversations with ChatGPT about social life and personal relationships,informed that your data was collected,anonymized,not removed,57,39
831,78,0,0,0,60,0,0,0,34,3,14,13,68,36,92,35,23,55,29,43,Weekly,2023 or earlier,ChatGPT Free Subscription,a charitable foundation,the US,training future AI models,Your conversations with ChatGPT about social life and personal relationships,informed that your data was collected,anonymized,automatically removed,5,90
832,100,0,0,0,100,0,0,0,100,66,76,0,30,60,100,10,70,100,100,5,Daily,2023 or earlier,ChatGPT Free Subscription,a big tech company,the US,assessing mental health,Your conversations with ChatGPT where you sought legal or ethical guidance,not informed that your data was collected,not anonymized,automatically removed,0,100
833,0,60,0,80,0,80,0,100,0,0,0,70,75,70,100,75,0,80,100,100,Less than Monthly,2024,No Account,an insurance company,the US,fighting terrorism,All of your conversations with ChatGPT,asked for consent in advance of the data being collected,anonymized,not removed,100,0
834,60,0,0,10,82,10,0,10,85,10,50,70,90,40,100,85,40,90,60,81,Monthly,2024,ChatGPT Free Subscription,a hospital,China,assessing mental health,Your conversations with ChatGPT where you sought legal or ethical guidance,asked for consent in advance of the data being collected,anonymized,automatically removed,40,92
835,50,50,0,0,50,50,0,0,50,0,0,0,50,25,75,50,0,100,75,50,Weekly,2024,ChatGPT Free Subscription,a hospital,the European Union,studying AI risks to society,Your conversations with ChatGPT about your personal health and wellness,asked for consent in advance of the data being collected,not anonymized,automatically removed,50,100
836,67,77,60,72,77,65,86,71,64,74,42,59,71,67,85,63,63,73,79,62,Less than Monthly,2024,No Account,an insurance company,the European Union,studying AI risks to society,Your conversations with ChatGPT where you used the model to help with your job,informed that your data was collected,not anonymized,not removed,76,84
837,100,35,35,15,100,50,40,30,100,25,25,90,25,35,75,30,10,80,50,60,Monthly,2023 or earlier,ChatGPT Free Subscription,a big tech company,China,creating a public dataset for AI research,Your conversations with ChatGPT where you used the model to help with your job,not informed that your data was collected,anonymized,automatically removed,90,10
838,34,74,14,36,14,79,29,79,78,65,77,69,61,72,71,22,73,70,74,74,Weekly,2023 or earlier,ChatGPT Free Subscription,a university social science researcher,China,fighting terrorism,Your conversations with ChatGPT about social life and personal relationships,not informed that your data was collected,not anonymized,not removed,82,18
839,50,0,0,20,0,0,0,50,50,0,0,60,71,50,80,61,50,70,65,66,Less than Monthly,2024,No Account,a charitable foundation,the European Union,studying AI risks to society,Your conversations with ChatGPT where you used the model to help with your job,not informed that your data was collected,anonymized,not removed,92,9
840,70,70,70,70,80,80,80,80,60,60,60,60,80,60,100,80,60,80,70,80,Weekly,2023 or earlier,ChatGPT Free Subscription,a hospital,China,training future AI models,Your conversations with ChatGPT about your personal health and wellness,not informed that your data was collected,anonymized,automatically removed,60,80
841,100,0,0,0,100,0,0,0,0,0,0,0,90,80,100,50,0,100,50,90,Less than Monthly,2023 or earlier,ChatGPT Free Subscription,a university social science researcher,China,improving user experience with AI,All of your conversations with ChatGPT,not informed that your data was collected,anonymized,automatically removed,100,0
842,100,100,8,60,100,100,11,58,100,0,30,60,17,27,61,10,37,100,32,34,Daily,2023 or earlier,No Account,a hospital,the European Union,creating a public dataset for AI research,All of your conversations with ChatGPT,not informed that your data was collected,not anonymized,not removed,81,29
843,93,0,0,0,90,0,0,0,0,0,0,80,70,30,90,10,85,100,86,73,Weekly,2025,ChatGPT Free Subscription,a big tech company,the US,assessing mental health,Your conversations with ChatGPT about your personal health and wellness,informed that your data was collected,anonymized,not removed,29,70
844,100,90,80,95,100,95,90,100,95,0,0,100,20,90,100,2,99,80,0,2,Daily,2024,ChatGPT Plus,a hospital,the European Union,fighting terrorism,Your conversations with ChatGPT about your personal health and wellness,not informed that your data was collected,not anonymized,not removed,25,100
845,30,0,0,0,30,0,0,0,0,0,0,0,100,20,100,75,20,90,40,100,Weekly,2024,ChatGPT Free Subscription,a charitable foundation,the European Union,personalizing advertising,Your conversations with ChatGPT where you used the model to help with your job,not informed that your data was collected,not anonymized,not removed,40,75
846,100,100,0,70,90,95,0,95,85,85,70,100,60,90,95,0,100,85,35,0,Daily,2024,ChatGPT Plus,a charitable foundation,the European Union,predicting human behavior,All of your conversations with ChatGPT,informed that your data was collected,not anonymized,not removed,15,95
847,56,42,0,0,70,41,0,0,45,42,46,34,97,44,100,42,35,61,68,78,Monthly,2023 or earlier,ChatGPT Free Subscription,an insurance company,the European Union,improving user experience with AI,Your conversations with ChatGPT where you sought legal or ethical guidance,not informed that your data was collected,not anonymized,not removed,0,98
848,65,0,0,0,70,0,0,0,0,50,60,80,40,70,90,60,30,70,80,100,Less than Monthly,2024,No Account,a charitable foundation,China,studying AI risks to society,Your conversations with ChatGPT where you sought legal or ethical guidance,informed that your data was collected,anonymized,not removed,0,100
849,82,24,15,30,71,4,4,4,71,34,40,79,65,40,80,71,50,71,80,70,Weekly,2025,ChatGPT Free Subscription,a university social science researcher,China,fighting terrorism,Your conversations with ChatGPT about social life and personal relationships,not informed that your data was collected,anonymized,not removed,81,19
850,81,82,32,32,81,81,63,0,0,0,0,0,82,0,100,19,40,9,100,25,Daily,2023 or earlier,ChatGPT Plus,a charitable foundation,China,fighting terrorism,Your conversations with ChatGPT where you used the model to help with your job,informed that your data was collected,anonymized,automatically removed,10,100
851,90,21,0,0,100,62,0,0,27,25,0,87,100,25,99,95,32,97,98,34,Weekly,2025,No Account,a hospital,China,assessing mental health,Your conversations with ChatGPT about your personal health and wellness,not informed that your data was collected,anonymized,automatically removed,60,96
852,65,0,0,,72,0,0,0,0,0,0,0,100,0,100,100,0,100,100,100,Daily,2023 or earlier,ChatGPT Plus,a big tech company,China,training future AI models,Your conversations with ChatGPT about your personal health and wellness,not informed that your data was collected,anonymized,automatically removed,100,0
853,70,75,40,35,80,80,70,70,75,60,75,70,65,85,90,30,80,20,30,20,Weekly,2024,ChatGPT Plus,a government agency,China,studying AI risks to society,Your conversations with ChatGPT about social life and personal relationships,asked for consent in advance of the data being collected,anonymized,not removed,60,60
854,100,35,0,0,100,0,30,0,30,0,40,30,30,50,100,30,80,60,20,30,Daily,2023 or earlier,ChatGPT Free Subscription,a hospital,China,creating a public dataset for AI research,Your conversations with ChatGPT where you sought legal or ethical guidance,asked for consent in advance of the data being collected,not anonymized,not removed,0,100
855,75,75,0,30,85,85,85,85,70,65,51,60,70,30,75,55,30,60,70,75,Daily,2024,ChatGPT Free Subscription,a government agency,the European Union,studying AI risks to society,Your conversations with ChatGPT where you used the model to help with your job,not informed that your data was collected,not anonymized,automatically removed,0,100
856,82,60,53,3,70,56,53,12,70,33,15,56,72,43,91,52,50,64,53,59,Weekly,2024,ChatGPT Free Subscription,an insurance company,the US,creating a public dataset for AI research,Your conversations with ChatGPT where you used the model to help with your job,asked for consent in advance of the data being collected,anonymized,automatically removed,23,62
